name,shape_id,lat,lon,admin1,admin2
Almoster,12082587B44803022818708,-8.66503010380655,39.47622595651037,Portugal,Santarém
Alpalhmo,12082587B1376667647128,-7.616656787712063,39.41586140845648,Portugal,Portalegre
Alpedrinha,12082587B34260948357620,-7.451107580468754,40.09096077894641,Portugal,Castelo Branco
"Alpendorada, V4Rzea E Torr O",12082587B77711328374327,-8.255517206954485,41.084994747498314,Portugal,Porto
Alpiarma,12082587B15241020126097,-8.57015172641179,39.24200424015286,Portugal,Santarém
Alqueid3O,12082587B68489189455986,-8.777942069683725,40.097547763242815,Portugal,Coimbra
Alqueid3O Da Serra,12082587B60033482706823,-8.761609427030017,39.599511195387,Portugal,Leiria
Alquerubim,12082587B25484192212618,-8.502585579835293,40.63231009645615,Portugal,Aveiro
Alte,12082587B1025368681539,-8.171899836814521,37.26934955591253,Portugal,Faro
Alter Do Ch9O,12082587B82611123430586,-7.644919697157457,39.19569221939649,Portugal,Portalegre
Alto Do Palurdo,12082587B85971254837119,-7.009025611147254,40.75687640627127,Portugal,Guarda
Altura,12082587B12215762437409,-7.506907955559436,37.19007982836791,Portugal,Faro
Alturas Do Barroso E Cerdedo,12082587B2066635215609,-7.839632303950633,41.68803910545024,Portugal,Vila Real
Alva,12082587B97272376217680,-7.75494610540801,41.196192761668705,Portugal,Vila Real
Alvadia,12082587B998698051633,-7.7660948065555235,41.438856047811996,Portugal,Vila Real
Alvaidzere,12082587B68719793121232,-8.393777717564243,39.83104441810532,Portugal,Leiria
Alvalade,12082587B99508574849530,-8.40182852353366,37.9484876714802,Portugal,Beja
Alv3O,12082587B89456887205179,-7.71537319762733,41.49573469888813,Portugal,Vila Real
Alvardes,12082587B7297593785744,-8.745568199921319,41.636309897036305,Portugal,Braga
Alvaredo,12082587B55340254061586,-8.305038301153601,42.0943197430125,Spain,Pontevedra
Alvarenga,12082587B23487104778290,-8.145217460352933,40.967552895343196,Portugal,Viseu
Alvares,12082587B16566304964527,-8.096601605196314,40.039148241370754,Portugal,Coimbra
Alvaro,12082587B84131429188504,-7.964379341092051,39.96571221539756,Portugal,Castelo Branco
Alvelos,12082587B89480068798717,-8.620915860898508,41.50518131716563,Portugal,Braga
Alvendre,12082587B16925492686335,-7.257894903509818,40.58564988173935,Portugal,Guarda
Alverca Da Beira/Bouba Cova,12082587B54589808195219,-7.230832876903329,40.702091934818384,Portugal,Guarda
Alvite,12082587B69225430025500,-7.71726898354793,40.96371843301881,Portugal,Viseu
Alvites,12082587B78980344192839,-7.0777659522112675,41.56871614634293,Portugal,Bragança
Alvito,12082587B93568088857988,-8.005690015690494,38.22219265420223,Portugal,Beja
Alvoco Da Serra,12082587B43865232910233,-7.668747105824421,40.295092176825996,Portugal,Guarda
Alvoco Das V0Rzeas,12082587B56941001187284,-7.827286677357389,40.30263497499169,Portugal,Guarda
